adopter,bill_sum,bill_win,cf,income,educ,sqft,kids,n_peo,age,retire,party,state
Non-adopter,325,125,18.4697327,87.5,High School or Less,"(2000,3000]",0,2,62,0,Republican,Arizona
Non-adopter,175,63,19.2908626,125,Some College,"(2000,3000]",0,2,52,0,Republican,California
Non-adopter,250,250,13.648607,87.5,Graduate Degree,"(0,1000]",1,2,32,0,Democrat,New York
Adopter,150,150,19.4651838,37.5,High School or Less,"(1000,1500]",0,3,50,0,Independent,California
Adopter,130,90,14.4799344,175,Graduate Degree,"(1500,2000]",1,3,42,0,Independent,New York
Non-adopter,175,63,18.4697327,17.5,Some College,"(0,1000]",1,2,28,0,Republican,Arizona
Non-adopter,175,125,18.4697327,62.5,Some College,"(2000,3000]",1,2,58,0,Democrat,Arizona
Non-adopter,100,75,16.9954729,87.5,Bachelor Degree,"(2000,3000]",0,2,65,1,Independent,California
Non-adopter,63,63,14.287465,87.5,Graduate Degree,"(2000,3000]",0,1,69,0,Independent,New York
Adopter,500,350,18.5442682,125,Bachelor Degree,"(1500,2000]",0,3,58,0,Democrat,California
Adopter,800,300,18.2302849,62.5,Bachelor Degree,"(1500,2000]",0,3,51,1,Independent,California
Non-adopter,175,175,14.2487819,87.5,Some College,"(1000,1500]",0,2,73,1,Independent,New York
Non-adopter,100,80,18.700047,37.5,Bachelor Degree,"(0,1000]",0,2,28,0,Independent,California
Non-adopter,300,500,13.0005286,37.5,Some College,"(1000,1500]",0,1,32,0,Democrat,New York
Adopter,275,125,14.4799344,125,Some College,"(2000,3000]",1,2,38,0,Independent,New York
Adopter,200,200,14.4799344,125,Some College,"(2000,3000]",1,3,61,1,Independent,New York
Non-adopter,80,80,18.700047,87.5,Some College,"(0,1000]",0,1,68,1,Republican,California
Non-adopter,125,175,17.1106164,62.5,Graduate Degree,"(2000,3000]",1,2,61,1,Independent,California
Non-adopter,88,63,18.5442682,87.5,Some College,"(1500,2000]",0,2,57,0,Independent,California
Non-adopter,225,175,14.5948679,175,High School or Less,"(2000,3000]",1,3,35,0,Independent,New Jersey
Adopter,158,65,18.4697327,125,Bachelor Degree,"(2000,3000]",0,2,68,1,Republican,Arizona
Non-adopter,275,175,14.0733312,62.5,Some College,"(1000,1500]",1,2,36,0,Independent,New Jersey
Non-adopter,90,80,13.648607,125,Graduate Degree,"(0,1000]",1,2,29,0,Democrat,New York
Adopter,130,120,14.4799344,62.5,Bachelor Degree,"(1000,1500]",1,2,44,0,Democrat,New York
Non-adopter,225,125,14.0466426,87.5,High School or Less,"(1500,2000]",0,2,51,0,Independent,New Jersey
Adopter,180,80,18.1662272,125,Bachelor Degree,"(1500,2000]",1,2,43,0,Independent,California
Adopter,500,200,18.4697327,37.5,High School or Less,"(1000,1500]",1,2,35,0,Independent,Arizona
Adopter,450,250,17.0682681,125,Some College,"(2000,3000]",1,2,32,0,Republican,California
Non-adopter,275,63,18.4697327,62.5,Some College,"(2000,3000]",0,2,71,1,Independent,Arizona
Non-adopter,275,275,13.4287538,175,Graduate Degree,"(1500,2000]",0,2,54,0,Republican,New York
Adopter,350,250,13.8040129,250,High School or Less,"(3000,4000]",0,3,56,0,Democrat,New Jersey
Non-adopter,225,88,14.1458314,250,Bachelor Degree,"(2000,3000]",0,3,54,0,Independent,New Jersey
Non-adopter,147.5,80,18.3624927,37.5,High School or Less,"(1500,2000]",0,3,49,0,Independent,California
Adopter,17,125,18.2273476,125,High School or Less,"(1500,2000]",1,3,69,0,Republican,California
Non-adopter,38,63,16.5959732,175,Some College,"(2000,3000]",0,3,54,0,Democrat,California
Adopter,450,200,18.3624927,125,Some College,"(2000,3000]",1,2,41,0,Independent,California
Adopter,600,100,17.0682681,350,High School or Less,"(1500,2000]",0,3,59,0,Republican,California
Non-adopter,63,63,16.9027499,87.5,Bachelor Degree,"(1000,1500]",0,2,42,0,Democrat,California
Non-adopter,175,88,18.4697327,62.5,High School or Less,"(1000,1500]",1,2,44,0,Independent,Arizona
Adopter,400,300,17.0682681,125,Bachelor Degree,"(2000,3000]",0,3,69,1,Republican,California
Non-adopter,175,175,19.8840528,125,Bachelor Degree,"(1500,2000]",0,2,62,1,Republican,Arizona
Adopter,475,250,18.2302849,37.5,Bachelor Degree,"(1500,2000]",0,1,56,0,Independent,California
Adopter,150,75,17.2051015,87.5,Some College,"(1500,2000]",0,3,57,0,Independent,California
Adopter,50,65,18.1662272,175,Graduate Degree,"(1000,1500]",0,3,68,0,Republican,California
Adopter,250,275,18.3624927,175,Graduate Degree,"(1500,2000]",1,2,55,1,Republican,California
Adopter,200,150,19.4651838,62.5,Graduate Degree,"(1000,1500]",1,2,37,0,Independent,California
Non-adopter,125,100,18.700047,17.5,High School or Less,"(1000,1500]",0,1,62,1,Republican,California
Adopter,95,129,17.7750341,87.5,Graduate Degree,"(1500,2000]",0,2,78,1,Democrat,California
Non-adopter,225,88,18.4697327,37.5,Some College,"(0,1000]",0,2,75,1,Democrat,Arizona
Non-adopter,175,63,18.4697327,87.5,Some College,"(1500,2000]",0,2,55,0,Republican,Arizona
Adopter,100,60,18.1662272,125,Graduate Degree,"(0,1000]",1,2,39,0,Republican,California
Non-adopter,125,175,13.1402931,125,Bachelor Degree,"(2000,3000]",0,2,71,1,Democrat,New York
Adopter,150,120,18.700047,350,Graduate Degree,"(2000,3000]",0,2,61,1,Democrat,California
Adopter,140,140,13.6007146,62.5,Bachelor Degree,"(1000,1500]",1,2,35,0,Democrat,New York
Non-adopter,275,225,18.5442682,62.5,Some College,"(2000,3000]",0,3,53,0,Republican,California
Non-adopter,175,175,18.4697327,17.5,Some College,"(1000,1500]",0,1,72,1,Democrat,Arizona
Non-adopter,35,80,19.2958857,17.5,Graduate Degree,"(0,1000]",0,2,53,0,Democrat,Arizona
Adopter,60,70,17.7750341,175,Graduate Degree,"(1500,2000]",0,2,63,0,Democrat,California
Adopter,600,500,18.5312698,125,Some College,"(2000,3000]",0,2,69,1,Democrat,California
Non-adopter,63,38,18.2273476,175,Bachelor Degree,"(1000,1500]",1,2,40,0,Independent,California
Non-adopter,125,63,19.2908626,87.5,High School or Less,"(1500,2000]",0,2,61,1,Democrat,California
Non-adopter,200,150,14.1615421,125,Graduate Degree,"(4000,5000+]",0,2,37,0,Democrat,New York
Adopter,60,150,18.6221576,175,Graduate Degree,"(3000,4000]",0,2,69,1,Democrat,California
Non-adopter,450,300,18.1662272,62.5,Graduate Degree,"(1000,1500]",1,2,32,0,Independent,California
Non-adopter,225,88,18.4697327,62.5,Graduate Degree,"(1500,2000]",0,2,72,1,Independent,Arizona
Non-adopter,300,80,18.4697327,125,Some College,"(3000,4000]",0,3,49,0,Independent,Arizona
Non-adopter,248,348,18.5442682,125,Some College,"(2000,3000]",0,3,69,1,Independent,California
Non-adopter,63,88,18.2273476,62.5,Bachelor Degree,"(1000,1500]",0,2,67,0,Democrat,California
Non-adopter,550,400,14.1615421,62.5,High School or Less,"(0,1000]",1,2,28,0,Republican,New York
Adopter,350,325,17.7295933,62.5,Some College,"(1000,1500]",0,2,65,0,Democrat,California
Non-adopter,125,38,19.9905379,125,Graduate Degree,"(1500,2000]",0,2,56,0,Democrat,Arizona
Non-adopter,275,88,19.9905379,87.5,Bachelor Degree,"(1500,2000]",0,2,63,1,Independent,Arizona
Adopter,180,180,14.4799344,62.5,Some College,"(1000,1500]",0,2,61,1,Republican,New York
Non-adopter,150,130,19.8840528,37.5,High School or Less,"(1500,2000]",0,2,70,1,Democrat,Arizona
Non-adopter,275,175,17.088196,37.5,Bachelor Degree,"(2000,3000]",0,2,64,1,Republican,California
Non-adopter,38,38,17.1184243,87.5,Bachelor Degree,"(1500,2000]",0,2,60,0,Democrat,California
Adopter,250,250,14.1837344,175,Graduate Degree,"(2000,3000]",1,2,34,0,Democrat,New Jersey
