adopter,state,bill_win,bill_sum,cf,income,educ,sqft,kids,n_peo,age,retire,party
Adopter,Arizona,250,400,0.198069413,250000,Graduate Degree,"(3000,4000]",1,2,60,0,Independent
Adopter,Arizona,100,375,0.198069413,37500,Some College,"(2000,3000]",0,1,72,1,Independent
Adopter,Arizona,250,300,0.198069413,62500,Bachelor Degree,"(2000,3000]",0,3,57,0,Republican
Adopter,Arizona,88,152,0.184697327,87500,Bachelor Degree,"(2000,3000]",0,3,56,0,Republican
Adopter,Arizona,250,50,0.198069413,17500,Graduate Degree,"(1500,2000]",0,2,58,0,Democrat
Adopter,Arizona,250,250,0.199638338,62500,Graduate Degree,"(2000,3000]",0,2,63,1,Republican
Adopter,Arizona,121,350,0.198069413,37500,Graduate Degree,"(2000,3000]",0,2,60,1,Republican
Adopter,Arizona,101,201,0.199638338,125000,Graduate Degree,"(3000,4000]",0,1,61,1,Republican
Adopter,Arizona,200,250,0.198069413,125000,Bachelor Degree,"(2000,3000]",0,1,37,0,Republican
Adopter,Arizona,54,54,0.198069413,37500,Bachelor Degree,"(1000,1500]",0,1,68,1,Democrat
Adopter,Arizona,80,50,0.199638338,87500,Graduate Degree,"(2000,3000]",0,2,64,1,Independent
Adopter,Arizona,75,150,0.199638338,175000,Bachelor Degree,"(2000,3000]",0,2,66,1,Democrat
Adopter,Arizona,100,180,0.198069413,125000,Some College,"(3000,4000]",1,3,31,0,Independent
Adopter,Arizona,125,300,0.198069413,87500,Some College,"(2000,3000]",0,2,84,0,Independent
Adopter,Arizona,420,300,0.198069413,17500,Some College,"(2000,3000]",0,2,59,0,Independent
Adopter,Arizona,60,150,0.199638338,37500,Graduate Degree,"(2000,3000]",0,2,67,1,Democrat
Adopter,Arizona,65,230,0.198069413,62500,Bachelor Degree,"(1500,2000]",0,2,66,1,Democrat
Adopter,New Jersey,300,250,0.14218588,350000,Graduate Degree,"(3000,4000]",1,2,45,0,Independent
Adopter,New Jersey,175,120,0.138040129,125000,Graduate Degree,"(2000,3000]",0,2,73,0,Democrat
Adopter,New Jersey,150,100,0.142518215,250000,Graduate Degree,"(1000,1500]",1,2,38,0,Independent
Adopter,New Jersey,80,500,0.141837344,62500,Graduate Degree,"(2000,3000]",1,2,55,0,Republican
Adopter,New Jersey,120,300,0.14218588,350000,Graduate Degree,"(3000,4000]",1,4,52,0,Independent
Adopter,New Jersey,150,600,0.140733312,350000,Graduate Degree,"(3000,4000]",1,3,39,0,Independent
Adopter,New Jersey,150,600,0.141645432,87500,Graduate Degree,"(2000,3000]",0,2,68,1,Democrat
Adopter,New Jersey,150,250,0.14218588,125000,Graduate Degree,"(2000,3000]",0,2,65,0,Republican
Adopter,New Jersey,200,400,0.141458314,250000,Graduate Degree,"(2000,3000]",1,2,40,0,Independent
Adopter,New Jersey,150,300,0.141406168,125000,Some College,"(2000,3000]",1,2,34,0,Independent
Adopter,New Jersey,180,180,0.141837344,250000,Bachelor Degree,"(2000,3000]",1,2,52,0,Democrat
Adopter,New Jersey,100,120,0.141837344,17500,Graduate Degree,"(1000,1500]",0,3,68,1,Democrat
Adopter,New Jersey,400,300,0.140733312,37500,Bachelor Degree,"(1500,2000]",0,1,67,0,Democrat
